task,string_square_sequence,program,new_solved,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
18,1151049382716050403020107666,[{'R5{l}R5{f}f': 4}],4,1.0,R5{l}R5{f}f,4.0,271.0,0.014760147601476014
18,115104938271605040302010766656,[{'R5{l}R6{f}R6{sl}': 1}],1,1.0,R5{l}R6{f}R6{sl},1.0,271.0,0.0036900369003690036
18,1151049382716151413121,[{'R4{l}sR4{f}': 1}],1,1.0,R4{l}sR4{f},1.0,271.0,0.0036900369003690036
18,11510493827362514031201-1,[{'R10{R3{l}rR10{}}': 1}],1,1.0,R10{R3{l}rR10{}},1.0,271.0,0.0036900369003690036
18,115104938475,[{'R2{l}R2{r}': 1}],1,1.0,R2{l}R2{r},1.0,271.0,0.0036900369003690036
18,11510493847566,[{'R2{l}R3{r}': 1}],1,1.0,R2{l}R3{r},1.0,271.0,0.0036900369003690036
18,11510494837362524131201-1,"[{'R4{ls}lR7{l}': 1, 'R4{ls}lR6{l}f': 1}]",2,2.0,R4{ls}lR7{l},2.0,271.0,0.007380073800738007
18,115104948373625241312010766555,[{'lsR5{ls}': 1}],1,1.0,lsR5{ls},1.0,271.0,0.0036900369003690036
18,115104948373625241312010766655,[{'R5{ls}sR6{l}': 1}],1,1.0,R5{ls}sR6{l},1.0,271.0,0.0036900369003690036
18,115104948373625241312010766656,[{'R5{ls}R5{f}R6{l}': 1}],1,1.0,R5{ls}R5{f}R6{l},1.0,271.0,0.0036900369003690036
18,1151049483736252413122,[{'R4{ls}r': 1}],1,1.0,R4{ls}r,1.0,271.0,0.0036900369003690036
18,1151049484736454,[{'lfflrf': 1}],1,1.0,lfflrf,1.0,271.0,0.0036900369003690036
18,115104948474,[{'lfff': 1}],1,1.0,lfff,1.0,271.0,0.0036900369003690036
18,11510494847565,[{'lffrf': 1}],1,1.0,lffrf,1.0,271.0,0.0036900369003690036
18,115105,"[{'s': 8, 'fR10{}': 1}]",9,2.0,s,9.0,271.0,0.033210332103321034
18,1151059483,[{'sR2{l}': 1}],1,1.0,sR2{l},1.0,271.0,0.0036900369003690036
18,115105948372615040,[{'slllllf': 1}],1,1.0,slllllf,1.0,271.0,0.0036900369003690036
18,11510594837261504030201076,[{'sR5{l}R4{f}': 1}],1,1.0,sR5{l}R4{f},1.0,271.0,0.0036900369003690036
18,1151059483726150403020107666,[{'sR5{l}R5{f}': 1}],1,1.0,sR5{l}R5{f},1.0,271.0,0.0036900369003690036
18,115105948372615040302010766655,[{'sR5{l}R4{f}fl': 2}],2,1.0,sR5{l}R4{f}fl,2.0,271.0,0.007380073800738007
18,11510594837261504030201076665546,[{'sR5{l}R5{f}lr': 3}],3,1.0,sR5{l}R5{f}lr,3.0,271.0,0.01107011070110701
18,115105948372615040302010766656,[{'sR5{l}R5{f}f': 2}],2,1.0,sR5{l}R5{f}f,2.0,271.0,0.007380073800738007
18,115105948372615040302010766657,[{'sR5{l}R5{f}r': 1}],1,1.0,sR5{l}R5{f}r,1.0,271.0,0.0036900369003690036
18,115105948373635344,[{'sR2{l}R3{f}rf': 1}],1,1.0,sR2{l}R3{f}rf,1.0,271.0,0.0036900369003690036
18,115105948473635242,[{'slslsls': 2}],2,1.0,slslsls,2.0,271.0,0.007380073800738007
18,1151059484736352423121,[{'sR4{ls}': 1}],1,1.0,sR4{ls},1.0,271.0,0.0036900369003690036
18,11510594847363524231211076,[{'slR4{sl}R6{}': 1}],1,1.0,slR4{sl}R6{},1.0,271.0,0.0036900369003690036
18,11510594847363524231211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443322110766554433221107665544332211076655443,[{'R5{sl}R10{R10{R10{l}}}': 1}],1,1.0,R5{sl}R10{R10{R10{l}}},1.0,271.0,0.0036900369003690036
18,1151059484736352423121107666,"[{'R4{sl}slf': 1, 'sR4{ls}lfR5{}': 1}]",2,2.0,R4{sl}slf,2.0,271.0,0.007380073800738007
18,115105948473635242312110766655,"[{'R5{sl}fl': 1, 'R5{fl}fls': 1}]",2,2.0,R5{sl}fl,2.0,271.0,0.007380073800738007
18,1151059484736352423121107666554433221100,[{'R5{sl}fR6{l}': 1}],1,1.0,R5{sl}fR6{l},1.0,271.0,0.0036900369003690036
18,1151059484736352423121107666554433221100-1-1,[{'R5{sl}fR7{l}': 1}],1,1.0,R5{sl}fR7{l},1.0,271.0,0.0036900369003690036
